Sampling Day,Site Number,Butterfly Diversity,Butterfly Richness,Floral Diversity,Floral Richness,Predator Attacks,Grasshopper Attacks,Site Area,Site Isolation,Distance to Closest External Patch
1,5,2.381101578,3,1.542491357,2,4,0,2.974,379670.658,3027.791
1,6,5.568223043,7,2.346202416,4,9,1,7.799,500830.358,16615.81
1,7,6.123383346,11,5.448110626,16,24,7,88.297,485335.7005,761.5563
7,8,1.649384888,2,1.132299859,2,2,0,0.550,387250.2,16921.96
7,9,1,1,1,1,1,0,0.027,434039.42,28384.41
7,10,4.75682846,5,1,1,2,0,0.244,502496.197,14709.01
7,11,1.649384888,2,1,1,2,1,0.274,527969.737,10813.78
7,12,2,2,1.589248485,3,8,0,0.188,568996.361,7440.335
8,13,1,1,1.311523414,2,8,0,0.175,588861.599,5763.637
12,14,3,3,2.014077318,3,1,0,2.138,594900.148,3886.966
12,15,3.599071551,7,4.427625829,15,38,18,179.236,354130.101,4211.443
16,1,1.987926285,3,3.040406477,5,4,1,2.089,473358.4215,2125.704
16,2,2.911351888,4,1.312586457,5,4,4,0.325,458461.806,4318.005
16,3,0,0,1,1,1,0,0.265,414474.554,3963.789
16,4,2,2,3.040408362,5,2,0,1.237,386662.92,652
23,5,2.311297562,4,4.882892111,7,4,0,2.974,379670.658,3027.791
23,6,5.481968171,8,2.683698041,6,9,1,7.799,500830.358,16615.81
23,7,3.930793225,10,5.631287479,16,24,7,88.297,485335.7005,761.5563
33,8,0,0,2.564886468,3,2,0,0.550,387250.2,16921.96
33,9,1,1,1.823404315,3,1,0,0.027,434039.42,28384.41
33,10,1,1,1.811088241,3,2,0,0.244,502496.197,14709.01
33,11,1,1,4.473549478,5,2,1,0.274,527969.737,10813.78
33,12,2,2,2.679402849,3,8,0,0.188,568996.361,7440.335
33,13,0,0,1.837777362,2,8,0,0.175,588861.599,5763.637
33,14,1,1,1.124014722,2,1,0,2.138,594900.148,3886.966
33,15,2.908421153,7,5.939891068,16,38,18,179.236,354130.101,4211.443
40,1,2,2,3.584159485,7,4,1,2.089,473358.4215,2125.704
40,2,0,0,4.533033728,9,4,4,0.325,458461.806,4318.005
40,4,1,1,1,1,2,0,1.237,386662.92,652
43,3,0,0,0,0,1,0,0.265,414474.554,3963.789
43,5,2,2,3.486006173,6,4,0,2.974,379670.658,3027.791
43,6,2,2,3.561907204,6,9,1,7.799,500830.358,16615.81
43,7,8.66426566,13,9.933324972,19,24,7,88.297,485335.7005,761.5563
49,8,2.828427125,3,2,2,2,0,0.550,387250.2,16921.96
49,9,0,0,2.879578887,4,1,0,0.027,434039.42,28384.41
49,10,0,0,2.92572656,4,2,0,0.244,502496.197,14709.01
49,11,3,3,2.773441882,3,2,1,0.274,527969.737,10813.78
51,12,0,0,1,1,8,0,0.188,568996.361,7440.335
51,13,0,0,1,1,8,0,0.175,588861.599,5763.637
51,14,1,1,0,0,1,0,2.138,594900.148,3886.966
51,15,3.025586018,10,6.984216033,16,38,18,179.236,354130.101,4211.443
58,1,5.742347492,6,3.037150434,4,4,1,2.089,473358.4215,2125.704
58,2,2,2,2.020152732,3,4,4,0.325,458461.806,4318.005
58,3,2,2,1.153159847,2,1,0,0.265,414474.554,3963.789
58,4,1.457569265,2,1,1,2,0,1.237,386662.92,652
65,5,0,0,1.514996265,2,4,0,2.974,379670.658,3027.791
65,6,3.77976315,4,2.156892807,4,9,1,7.799,500830.358,16615.81
65,7,7.416230099,13,3.788522997,13,24,7,88.297,485335.7005,761.5563
69,8,4.585756412,5,2.371622324,4,2,0,0.550,387250.2,16921.96
69,9,1.569192583,2,2.525215021,7,1,0,0.027,434039.42,28384.41
69,10,2.971004097,4,2.552027924,3,2,0,0.244,502496.197,14709.01
69,11,2.238548084,3,3.175094014,4,2,1,0.274,527969.737,10813.78
69,12,5.742347492,6,2,2,8,0,0.188,568996.361,7440.335
70,13,2.649351129,3,1.239315431,2,8,0,0.175,588861.599,5763.637
70,14,3.77976315,4,1.918908551,2,1,0,2.138,594900.148,3886.966
72,15,4.440067187,13,4.422165259,11,38,18,179.236,354130.101,4211.443
87,1,2.811061174,4,2.616735137,3,4,1,2.089,473358.4215,2125.704
92,2,4.371369344,5,1.377337106,3,4,4,0.325,458461.806,4318.005
92,3,2.828427125,3,1.457569265,2,1,0,0.265,414474.554,3963.789
92,4,1,1,1.457569265,2,2,0,1.237,386662.92,652
92,5,4.564903423,5,1.653331395,3,4,0,2.974,379670.658,3027.791
92,6,3.336346035,5,2.513040641,3,9,1,7.799,500830.358,16615.81
92,7,4.877582504,10,3.963251165,9,24,7,88.297,485335.7005,761.5563
96,8,1.754765351,2,1,1,2,0,0.550,387250.2,16921.96
96,9,2,2,1.726364553,5,1,0,0.027,434039.42,28384.41
96,10,3,5,1,1,2,0,0.244,502496.197,14709.01
96,11,2.123306796,3,4.554270098,6,2,1,0.274,527969.737,10813.78
96,12,5.010181812,6,2.744749656,5,8,0,0.188,568996.361,7440.335
96,13,2.58640929,3,3.274880486,4,8,0,0.175,588861.599,5763.637
96,14,3.137025965,4,1.842022775,2,1,0,2.138,594900.148,3886.966
96,15,2.560438352,7,2.232722305,7,38,18,179.236,354130.101,4211.443
104,1,3.893220475,5,2.199192109,4,4,1,2.089,473358.4215,2125.704
104,2,3.585988827,4,2.931051658,3,4,4,0.325,458461.806,4318.005
105,3,2,2,0,0,1,0,0.265,414474.554,3963.789
105,4,2.600490006,3,1.417411181,1,2,0,1.237,386662.92,652
